Year,Age,Credit,Sex,MaritalStatus,Miles,YearsOwned,CarAge,Value,BodilyInjury,Drivers,Claims
2017,50,H,M,Single,7000,5,9,15000,11284,1,2
2017,25,E,F,Single,14000,1,4,17000,644,4,1
2017,39,G,F,Married,9000,5,12,4843,6422,2,2
2017,58,A,M,Single,14000,4,4,55882,13667,1,2
2017,51,C,M,Married,13000,1,1,22352,758,2,1
2017,42,A,F,Married,13000,0,8,2500,23281,2,2
2017,24,H,F,Single,13000,0,4,19000,2203,2,1
2017,43,G,M,Married,14000,3,4,11176,13235,2,2
2017,45,A,F,Married,7000,2,2,17000,8912,2,2
2017,45,F,M,Single,8000,5,6,8996,6950,1,2
2017,20,D,M,Divorced,14000,0,8,19000,3780,1,2
2017,25,B,M,Married,9000,2,4,7611,6182,1,2
2017,26,C,M,Single,9000,2,2,15294,776,1,1
2017,33,B,F,Single,8000,0,2,23529,2441,1,1
2017,37,B,M,Married,12000,0,4,2075,1732,2,1
2017,30,A,F,Married,5000,1,10,26296,19185,2,2
2017,50,G,M,Married,9000,4,5,15000,3419,3,1
2017,31,D,M,Married,10000,1,8,15000,17320,4,2
2017,42,C,M,Single,9000,0,4,15000,9973,1,2
2017,50,G,M,Married,10000,2,6,11000,18710,2,2
2017,37,G,M,Single,11000,5,5,20000,16566,1,2
2017,52,G,M,Single,16000,0,1,15224,7473,1,2
2017,31,A,M,Divorced,3000,3,10,13000,23343,1,2
2017,28,E,M,Single,15000,0,2,17000,14281,2,2
2017,22,C,M,Single,8000,4,7,8996,908,1,1
2017,78,E,F,Married,7000,3,5,4117,7583,2,2
2017,47,A,M,Married,18000,1,2,8996,7929,2,2
2017,46,B,F,Single,8000,0,1,32500,728,4,1
2017,28,E,F,Single,6000,2,5,13148,4918,1,2
2017,33,H,M,Married,20000,3,4,22500,12845,2,2
2017,49,A,M,Single,14000,2,3,38235,8893,1,2
2017,26,H,F,Single,15000,1,4,15224,21512,2,2
2017,26,A,F,Single,10000,0,5,2500,16387,1,2
2017,73,B,M,Married,5000,0,1,15294,7709,1,2
2017,24,A,F,Single,9000,1,3,15294,1245,2,1
2017,33,H,F,Single,12000,0,0,3500,1429,1,1
2017,36,D,M,Married,3000,7,9,11176,11098,2,2
2017,50,E,F,Married,9000,1,8,23529,829,2,1
2017,41,D,M,Single,7000,6,18,6500,3970,4,2
2017,46,E,M,Married,15000,1,1,4117,996,2,1
2017,51,H,F,Married,10000,4,8,17000,12778,2,2
2017,42,G,M,Married,13000,3,3,15224,618,2,1
2017,24,H,M,Single,14000,3,12,5500,25696,1,2
2017,26,D,M,Single,12000,2,3,76123,8046,1,2
2017,66,H,M,Single,10000,0,9,8500,8830,1,2
2017,24,C,F,Single,14000,0,0,9500,3212,1,1
2017,23,A,M,Married,5000,0,0,3460,20901,3,2
2017,62,A,F,Single,11000,1,1,7647,22259,2,2
2017,41,E,F,Married,7000,3,5,42500,8769,2,2
2017,29,G,F,Single,10000,0,9,15000,3018,1,1
2017,23,G,F,Single,10000,0,6,12941,7513,1,2
2017,48,G,F,Single,14000,0,0,88235,0,2,0
2017,46,C,M,Single,15000,0,1,26296,4436,3,2
2017,46,H,M,Single,11000,4,4,22352,4142,1,2
2017,44,A,F,Single,19000,7,7,11176,13997,1,2
2017,65,G,M,Married,3000,0,3,22500,2194,2,1
2017,53,D,M,Single,9000,5,10,6500,18706,3,2
2017,36,G,F,Single,15000,1,2,58823,15483,1,2
2017,35,G,F,Widowed,7000,6,12,17992,13810,1,2
2017,35,H,M,Single,8000,1,3,691,1324,1,1
2017,56,C,M,Single,14000,4,7,19000,1442,1,1
2017,31,E,F,Single,12000,1,15,8500,5164,1,2
2017,39,A,M,Single,14000,2,2,15294,3789,1,2
2017,39,E,F,Single,8000,3,5,11764,1706,1,1
2017,71,C,M,Divorced,15000,2,6,7611,1534,1,1
2017,46,A,M,Single,12000,0,1,13000,16801,2,2
2017,24,H,M,Single,7000,1,3,10380,5777,3,2
2017,29,B,M,Single,3000,5,7,7611,11055,1,2
2017,55,F,F,Married,7000,0,5,10000,7779,1,2
2017,61,G,F,Married,8000,0,0,13148,4584,2,2
2017,44,C,M,Single,12000,1,1,17992,2473,1,1
2017,35,H,F,Married,6000,5,13,6228,0,2,0
2017,60,C,M,Single,13000,4,10,5294,1005,3,1
2017,67,H,M,Married,5000,1,8,4843,1232,2,1
2017,62,B,M,Married,11000,1,3,13000,2968,2,1
2017,63,G,M,Married,9000,3,5,6228,973,2,1
2017,63,C,F,Single,9000,10,15,8500,907,1,1
2017,21,B,M,Single,14000,0,5,19000,8464,1,2
2017,19,F,M,Married,10000,0,1,8996,28674,1,2
2017,47,B,M,Married,10000,1,1,17000,11652,2,2
2017,48,D,F,Divorced,6000,3,5,13148,4127,3,2
2017,33,D,F,Married,11000,1,2,50000,3175,2,1
2017,34,G,M,Single,14000,1,6,588,8132,1,2
2017,64,G,M,Married,5000,1,5,10380,10917,2,2
2017,29,B,M,Single,14000,6,8,11176,6374,3,2
2017,63,B,M,Married,12000,5,7,42500,7613,2,2
2017,55,C,M,Single,12000,6,10,7500,17304,1,2
2017,60,B,F,Married,15000,0,5,3500,3428,2,1
2017,56,F,M,Single,10000,0,5,13000,4873,2,2
2017,21,F,M,Single,10000,4,4,10380,23265,1,2
2017,55,A,M,Single,14000,0,4,20761,2305,1,1
2017,44,H,M,Married,13000,1,1,65743,0,1,0
2017,39,E,M,Married,12000,5,9,2941,1586,2,1
2017,53,H,M,Single,9000,2,12,10380,7083,1,2
2017,27,F,M,Single,14000,0,4,17647,25342,1,2
2017,35,A,M,Single,10000,3,5,15294,7091,1,2
2017,60,B,F,Married,7000,2,5,13148,5815,2,2
2017,75,E,M,Single,5000,1,15,3500,2108,1,1
2017,24,B,M,Married,14000,0,18,13148,15957,2,2
2017,43,C,M,Married,12000,2,2,26296,21097,2,2
2017,68,B,M,Single,4000,10,20,8500,2744,1,1
2017,58,C,M,Single,15000,0,5,17647,2559,2,1
2017,60,A,M,Single,11000,6,7,4500,7438,1,2
2017,50,E,M,Single,12000,0,5,15224,7128,1,2
2017,49,C,M,Single,12000,2,2,17992,776,1,1
2017,65,F,M,Married,6000,7,13,7500,8801,1,2
2017,51,E,M,Married,13000,0,2,22352,10285,2,2
2017,53,B,F,Married,14000,1,1,23529,1093,1,1
2017,48,E,M,Married,6000,8,13,7500,6792,2,2
2017,19,F,M,Single,12000,1,12,10380,67227,1,2
2017,51,E,F,Married,14000,2,2,17992,658,2,1
2017,51,H,M,Married,13000,0,1,37500,0,1,0
2017,49,H,M,Single,11000,0,1,12941,14645,1,2
2017,44,A,F,Single,12000,0,4,15000,5327,1,2
2017,51,F,M,Married,13000,0,0,20761,20058,2,2
2017,76,H,M,Married,8000,4,13,4117,25081,2,2
2017,73,C,M,Single,2000,1,12,8823,4166,1,2
2017,62,D,F,Married,10000,0,10,691,14197,2,2
2017,57,H,M,Single,7000,0,8,9500,1340,2,1
2017,40,E,M,Divorced,13000,6,12,2941,5420,1,2
2017,70,E,F,Single,2000,6,13,500,14341,1,2
2017,25,B,F,Single,13000,1,10,4117,1637,1,1
2017,72,E,F,Single,10000,3,3,51902,3095,2,1
2017,46,D,F,Married,9000,2,2,13000,2861,2,1
2017,44,B,M,Married,7000,0,0,20761,6719,1,2
2017,19,F,M,Single,4000,0,6,13000,45823,1,2
2017,32,B,F,Single,7000,1,10,11764,10198,1,2
2017,26,D,M,Married,10000,3,3,38061,2571,2,1
2017,38,D,M,Single,12000,8,8,15000,2483,1,1
2017,19,G,M,Single,13000,1,7,8996,32039,2,2
2017,28,A,F,Single,6000,2,2,17992,2991,1,1
2017,40,B,M,Single,11000,2,6,32500,11159,1,2
2017,61,C,F,Married,11000,0,1,8996,1191,2,1
2017,34,B,M,Married,11000,3,5,4843,45824,2,2
2017,57,A,M,Widowed,15000,0,1,17647,3487,1,2
2017,30,F,M,Married,8000,2,6,19000,1359,2,1
2017,58,E,F,Married,11000,1,15,6500,4153,2,2
2017,21,H,M,Married,20000,0,1,23529,44526,4,2
2017,52,H,M,Divorced,8000,1,1,23529,1887,1,1
2017,30,D,M,Single,8000,0,1,26470,2551,3,1
2017,40,F,F,Divorced,9000,2,4,22500,18840,2,2
2017,50,B,M,Married,9000,3,4,20000,1131,2,1
2017,25,B,M,Married,13000,0,5,20761,23053,2,2
2017,67,H,M,Single,9000,4,5,15224,0,1,0
2017,42,H,M,Single,14000,7,11,23529,31403,4,2
2017,41,H,F,Single,8000,4,4,19000,5501,1,2
2017,61,A,F,Married,5000,8,11,4500,1166,2,1
2017,24,H,F,Single,16000,5,8,4500,12474,1,2
2017,48,A,F,Single,13000,1,2,10380,811,1,1
2017,45,H,M,Married,11000,7,7,17000,4189,2,2
2017,61,H,F,Single,12000,0,0,17992,12221,1,2
2017,35,A,M,Married,11000,8,8,17992,1049,1,1
2017,20,F,M,Married,3000,3,7,17992,8054,1,2
2017,17,D,M,Single,12000,0,8,5500,128547,2,2
2017,22,E,M,Single,9000,5,11,7611,1630,4,1
2017,69,D,M,Single,5000,7,15,15294,5304,1,2
2017,61,D,M,Single,8000,3,5,20761,3506,1,2
2017,54,E,M,Single,12000,2,3,26470,26837,3,2
2017,36,D,F,Single,10000,8,14,13148,11185,1,2
2017,41,C,M,Single,11000,0,11,13148,1973,3,1
2017,45,E,M,Single,9000,1,1,47500,9163,1,2
2017,48,D,M,Married,11000,2,3,26296,6628,1,2
2017,20,D,M,Married,9000,2,5,2075,27289,1,2
2017,35,C,F,Single,13000,2,6,3500,8716,1,2
2017,30,G,M,Single,11000,4,5,42500,14335,1,2
2017,53,C,M,Single,15000,3,5,8823,10476,1,2
2017,54,E,F,Married,9000,1,3,2941,3737,2,2
2017,37,F,F,Married,15000,1,5,13000,12021,2,2
2017,31,H,M,Single,10000,8,13,7647,1634,1,1
2017,78,F,F,Married,2000,1,5,15224,41069,1,2
2017,60,A,F,Single,14000,0,1,17000,7051,2,2
2017,44,D,M,Single,11000,4,11,2500,13394,1,2
2017,24,E,M,Single,16000,2,5,58823,18332,1,2
2017,26,A,F,Single,13000,1,5,13000,1349,1,1
2017,37,E,F,Married,10000,8,9,11764,7383,2,2
2017,19,H,F,Single,9000,0,0,51902,2988,1,1
2017,53,G,M,Single,12000,7,11,17647,2319,4,1
2017,74,A,F,Single,4000,7,18,3460,8778,3,2
2017,59,C,F,Married,8000,4,9,6228,16565,2,2
2017,44,B,M,Single,6000,7,9,11764,15881,4,2
2017,18,C,F,Single,12000,7,7,4843,4236,2,2
2017,77,H,M,Divorced,5000,4,19,1764,3048,2,1
2017,71,E,M,Widowed,7000,4,7,7611,4025,1,2
2017,28,E,F,Married,12000,0,0,22352,9675,1,2
2017,31,E,F,Single,15000,1,1,100000,8945,1,2
2017,34,D,M,Single,6000,1,3,50000,0,2,0
2017,25,F,M,Married,11000,4,9,11176,593,2,1
2017,49,H,M,Single,9000,5,10,17992,13951,1,2
2017,46,B,M,Married,16000,3,4,7611,2034,2,1
2017,22,D,F,Married,5000,0,6,19000,22267,4,2
2017,35,F,F,Married,6000,0,11,5294,22970,2,2
2017,67,E,F,Married,4000,7,8,26296,10933,3,2
2017,36,A,M,Single,7000,10,11,5500,7759,1,2
2017,45,B,M,Married,11000,0,9,4500,5193,1,2
2017,60,B,M,Single,14000,0,3,27500,12070,1,2
2017,51,B,F,Single,8000,0,8,22352,0,1,0
2017,59,B,M,Single,4000,1,4,4843,22093,3,2
2017,58,G,M,Single,9000,6,7,7611,20344,1,2
2017,28,G,M,Single,11000,7,10,10380,3461,1,1
2017,42,C,M,Single,15000,4,4,15224,19732,1,2
2017,45,D,M,Married,13000,3,6,22352,1977,2,1
2017,67,B,F,Divorced,10000,2,4,23529,7143,3,2
2017,47,D,M,Single,12000,0,0,19000,20607,1,2
2017,59,B,M,Single,2000,5,11,6500,6186,2,2
2017,33,B,F,Married,11000,2,8,23529,3009,2,1
2017,43,F,F,Married,15000,2,2,44982,3381,1,1
2017,64,F,M,Widowed,3000,8,14,20761,2451,1,1
2017,52,D,M,Single,11000,3,7,10380,15821,1,2
2017,42,A,M,Married,8000,6,10,26296,2551,2,1
2017,30,D,F,Single,11000,4,5,17000,3117,1,1
2017,40,B,M,Married,10000,4,8,3460,16630,2,2
2017,43,E,F,Divorced,12000,2,3,13000,1106,1,1
2017,63,H,M,Single,4000,6,12,23529,16359,1,2
2017,42,D,M,Single,13000,0,3,47500,8279,1,2
2017,20,C,M,Married,8000,1,6,6470,1547,1,1
2017,49,C,F,Single,10000,3,8,20761,2284,2,1
2017,32,G,F,Married,8000,0,1,15000,2966,2,1
2017,48,E,F,Single,6000,5,6,13000,3672,1,2
2017,68,A,M,Married,6000,6,8,27500,948,2,1
2017,29,H,F,Single,9000,3,9,11764,4211,1,2
2017,19,D,M,Single,14000,0,4,17647,10559,1,2
2017,35,A,M,Single,6000,2,4,65743,22777,1,2
2017,47,B,F,Married,14000,4,7,7611,15068,2,2
2017,57,A,F,Married,3000,2,5,15294,4341,1,2
2017,47,D,M,Married,6000,5,5,15224,2290,1,1
2017,67,F,M,Married,13000,0,5,11000,38938,2,2
2017,39,F,F,Single,10000,0,3,42500,4361,1,2
2017,60,H,M,Married,9000,0,0,89964,7773,2,2
2017,43,E,F,Single,2000,3,5,8996,32306,1,2
2017,57,B,M,Single,10000,2,3,47500,30691,1,2
2017,35,A,M,Divorced,8000,2,4,27500,36370,2,2
2017,37,C,M,Single,10000,0,0,58823,5592,1,2
2017,61,H,M,Single,11000,0,2,42500,14611,1,2
2017,47,C,M,Married,12000,3,6,23529,711,2,1
2017,43,C,M,Single,13000,0,3,32500,2288,1,1
